,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1400,Grace Intoxicated,Mixed Media,Jun 28 2012,Jul 28 2012,30,"Duluth, MN",$,2398,2000,47
1401,"""One-Ton"", The Fire-Breathing Dragon",Sculpture,Jun 21 2012,Aug 17 2012,56,"Port Townsend, WA",$,15583,14000,141
1402,Berlin Calling: An International Exhibition Opportunity,Mixed Media,Aug 29 2012,Sep 28 2012,30,"Berlin, Germany",$,2038,1925,51
1403,Field Reflections: The Final Painting,Painting,Sep 12 2012,Oct 14 2012,32,"Boston, MA",$,4268,3000,18
1404,Jaymes White - The Paradox Tour: A Mind Blowing Experience,Performance Art,Feb 27 2014,Apr 1 2014,33,"Ottawa, Canada",CA$,9891,8500,160
1405,Stu marches Momentum Winterguard,Performance Art,Nov 19 2013,Dec 19 2013,30,"Sacramento, CA",$,500,450,10
1406,Noble Traders: Beyond Fair Trade,Sculpture,Feb 17 2014,Mar 19 2014,30,"Knoxville, TN",$,20261,14000,100
1407,Edgeponies Dublin: Fire Station Artists' Studios Residency,Art,Feb 13 2014,Mar 17 2014,31,"Dublin, Ireland",$,3547,3000,43
1408,"""The Sleepers"" A Multimedia Collection of Short Stories",Mixed Media,Mar 1 2014,Mar 16 2014,15,"Exeter, UK",$,505,300,11
1409,Penny Portrait - Create a portrait of Abe from old pennies,Mixed Media,Feb 18 2014,Apr 19 2014,60,"Austin, TX",$,1874,1200,124
1410,Please Donate to fund My Artist Residency at Castle Hill.,Art,Feb 19 2014,Mar 12 2014,21,"Truro, MA",$,1055,700,3
1411,Internationally Recognized Artist Sets Ambitious Goal!,Painting,Mar 21 2014,Apr 20 2014,30,"Chicago, IL",$,4455,4100,27
1412,"Run Smelt Run, a glorious rite of abundance & merriment.",Public Art,Feb 14 2013,Mar 16 2013,29,"Duluth, MN",$,5215,5000,79
1413,"Wenatchee Comedy Festival - Saturday, April 27th",Performance Art,Mar 8 2013,Apr 7 2013,30,"Wenatchee, WA",$,1130,1000,21
1414,Darkside Holocron Sculpture,Sculpture,Feb 8 2013,Mar 6 2013,26,"Atlanta, GA",$,5893,3500,64
1415,Mama,Sculpture,Mar 19 2013,Apr 18 2013,30,"Southbury, CT",$,1715,1200,46
1416,The Taxonomy of Trash - an analytical approach to garbage,Public Art,Jan 30 2013,Feb 24 2013,25,"Philadelphia, PA",$,7511,7500,80
1417,Mixcard: Postcard Mixtapes,Mixed Media,Feb 25 2013,Mar 27 2013,30,"Cambridge, MA",$,5323,3000,202
1418,Asian & Pacific Islander SF Pride Parade Float 2013,Public Art,May 6 2013,May 31 2013,25,"San Francisco, CA",$,3625,3500,29
1419,Katie Buckett's First Solo Painting Exhibition 28 May-3 June,Painting,Apr 16 2013,May 2 2013,16,"London, UK",£,3175,2780,30
